Paper,Authors,Journal,Peer_reviewed,Year,Link,Experiment_location,Sex,Group,Genus,Species,Strain,Wing_length,Wing_length_info,Rearing_temperature_condition,Temp_data,Rearing_temperature_note,Rearing_density,Larvae_diet,Larval_diet_data,Photoperiod,Notes
Colonized Aedes albopictus and its sexual performance in the wild: implications for SIT technology and containment,"Hamady D.; Ruslan N.B.; Ahmad A.H.; Rawi C.S.M.; Ahmad H.; Satho T.; Miake F.; Zuharah W.F.; FuKumitsu Y., Saad A.R.; Rajasaygar S.; Vargas R.E.M.: Ab Majid A.H.; Fadzly N.; Ghani I.A.; AbuBakar  S.",Parasites & Vectors,Y,2013,https://doi.org/10.1186/1756-3305-6-206,Field,Male,Aedes albopictus,Aedes,albopictus,Kampong Teluk Tempoyak,2.4,"2.40 mean, 0.021 SE",0,N,0,,Single diet,N,,
"Determinants of Aedes mosquito larval ecology in a heterogeneous urban environment- a longitudinal study in Bengaluru, India",Dharmamuthuraja D.; P D R.; Lakshmi M.I.; Isvaran K.; Ghosh S.K.; Ishtiaq F.,PLOS Neglected Tropical Diseases,Y,2023,https://doi.org/10.1371/journal.pntd.0011702 ,Field,Male,Aedes albopictus,Aedes,albopictus,Bengaluru,1.4,larvae emerged population,0,N,0,,Single diet,N,,
"Determinants of Aedes mosquito larval ecology in a heterogeneous urban environment- a longitudinal study in Bengaluru, India",Dharmamuthuraja D.; P D R.; Lakshmi M.I.; Isvaran K.; Ghosh S.K.; Ishtiaq F.,PLOS Neglected Tropical Diseases,Y,2023,https://doi.org/10.1371/journal.pntd.0011702 ,Field,Female,Aedes albopictus,Aedes,albopictus,Bengaluru,2.3,larvae emerged population,0,N,0,,Single diet,N,,
"Determinants of Aedes mosquito larval ecology in a heterogeneous urban environment- a longitudinal study in Bengaluru, India",Dharmamuthuraja D.; P D R.; Lakshmi M.I.; Isvaran K.; Ghosh S.K.; Ishtiaq F.,PLOS Neglected Tropical Diseases,Y,2023,https://doi.org/10.1371/journal.pntd.0011702 ,Field,Male,Aedes albopictus,Aedes,albopictus,Bengaluru,1.7,BG traps,0,N,0,,Single diet,N,,
"Determinants of Aedes mosquito larval ecology in a heterogeneous urban environment- a longitudinal study in Bengaluru, India",Dharmamuthuraja D.; P D R.; Lakshmi M.I.; Isvaran K.; Ghosh S.K.; Ishtiaq F.,PLOS Neglected Tropical Diseases,Y,2023,https://doi.org/10.1371/journal.pntd.0011702 ,Field,Female,Aedes albopictus,Aedes,albopictus,Bengaluru,2.35,,0,N,0,,Single diet,N,,
Different demographic responses of three species of container Aedes (Diptera: Culicidae) larvae to timing of extrinsic mortality,Juliano S.A.; McIntire K.M.; Nichols H.O.; Canizela C.C.; Frederick K.M.,Journal of Medical Entomology,Y,2024,https://doi.org/10.1093/jme/tjad129,Lab,Female,Aedes albopictus,Aedes,albopictus,Harrisburg/Orlando,2.24,"2.24 mean, 0.11 SD",0,N,0,,Single diet,N,"14L, 10D",
Fine-scale variation in microclimate across an urban landscape shapes variation in mosquito population dynamics and the potential of Aedes albopictus to transmit arboviral disease,Murdock C.C.; Evans M.V.; McClanahan T.D.; Miazgowicz K.L.; Tesla B.,PLoS NTD,Y,2017,https://doi.org/10.1371/journal.pntd.0005640,Field,Male,Aedes albopictus,Aedes,albopictus,"Georgia, USA",2.71,"2.71 mean, 0.01 SD",0,N,0,,Single diet,N,,
Fine-scale variation in microclimate across an urban landscape shapes variation in mosquito population dynamics and the potential of Aedes albopictus to transmit arboviral disease,Murdock C.C.; Evans M.V.; McClanahan T.D.; Miazgowicz K.L.; Tesla B.,PLoS NTD,Y,2017,https://doi.org/10.1371/journal.pntd.0005640,Field,Female,Aedes albopictus,Aedes,albopictus,"Georgia, USA",3.21,"3.21 mean, 0.01 SD",0,N,0,,Single diet,N,,
Larval Competition Differentially Affects Arbovirus Infection In Aedes Mosquitoes,Alto B.W.; Lounibos L.P.; Higgs S.; Juliano S.A.,Ecology,Y,2005,https://doi.org/10.1890/05-0209,Field,Female,Aedes albopictus,Aedes,albopictus,East St. Louis,2.43,"2.43 mean, 0.02 SD",0,N,0,,Single diet,N,,
Pupal Mass and Wing Length as Indicators of Fecundity in Aedes albopictus and Aedes geniculatus (Diptera: Culicidae) ,Armbruster P; Hutchinson R.A.,Journal of Medical Entomology,Y,2002,https://doi.org/10.1603/0022-2585-39.4.699,Lab,Female,Aedes geniculatus,Aedes,geniculatus,,4.14,"4.14 mean, 0.24 SD",0,N,0,,Single diet,N,,
Pupal Mass and Wing Length as Indicators of Fecundity in Aedes albopictus and Aedes geniculatus (Diptera: Culicidae) ,Armbruster P; Hutchinson R.A.,Journal of Medical Entomology,Y,2002,https://doi.org/10.1603/0022-2585-39.4.699,Field,Female,Aedes geniculatus,Aedes,geniculatus,,4.01,"4.01 mean, 0.38 SD",0,N,0,,Single diet,N,,
Different demographic responses of three species of container Aedes (Diptera: Culicidae) larvae to timing of extrinsic mortality,Juliano S.A.; McIntire K.M.; Nichols H.O.; Canizela C.C.; Frederick K.M.,Journal of Medical Entomology,Y,2024,https://doi.org/10.1093/jme/tjad129,Lab,Female,Aedes triseriatus,Aedes,triseriatus,Eureka MO,2.68,"2.68 mean, 0.013 SD",0,N,0,,Single diet,N,"14L, 10D",
Juvenile hormone controls ovarian development in female Anopheles albimanus mosquitoes,Hernández-Martínez S. ; Cardoso-Jaime V.; Nouzova M.; Michalkova V.; Ramirez C.E.; Fernandez-Lima F.; Noriega F.G.,Scientific Reports,Y,2019,https://doi.org/10.1038/s41598-019-38631-6,Field,Female,Anopheles albimanus,Anopheles,albimanus,"Chiapas, Mexico",3.48,"3.48 mean, 0.059 SE",0,N,0,,Single diet,N,,October 2017 (Rainy season)
Juvenile hormone controls ovarian development in female Anopheles albimanus mosquitoes,Hernández-Martínez S. ; Cardoso-Jaime V.; Nouzova M.; Michalkova V.; Ramirez C.E.; Fernandez-Lima F.; Noriega F.G.,Scientific Reports,Y,2019,https://doi.org/10.1038/s41598-019-38631-6,Field,Female,Anopheles albimanus,Anopheles,albimanus,"Chiapas, Mexico",2.5,"2.50 mean, 0.084 SE",0,N,0,,Single diet,N,,February 2018 (Dry season)
Maize pollen diet enhances malaria mosquito longevity and infectivity to Plasmodium parasites in Ethiopia,Ayele S.; Wegayehu T.; Eligo N.; Tamiru G.; Lindtjørn B.; Massebo F.,Sci Rep,Y,2023,https://doi.org/10.1038/s41598-023-41826-7 ,Mixed,Female,Anopheles arabiensis,Anopheles,arabiensis,"Arba Minch, Ethiopia",3.25,3.25 mean,0,N,0,,Single diet,N,,
Wing size and parity as markers of cohort demography for potential Anopheles (Culicidae: Diptera) malaria vectors in the Republic of Korea,Foley D.H.; Wilkerson R.C.; Kim H.C.; Klein T.A.; Kim M.S.; Li C.; Levin D.M.; Rueda L.M.,Journal of Vector Ecology,Y,2020,https://doi.org/10.1111/jvec.12406,Field,Female,Anopheles belenrae,Anopheles,belenrae,Ganghwa Island,4.85,"4.85 mean, 0.32 SD",0,N,0,,Single diet,N,,
Wing size and parity as markers of cohort demography for potential Anopheles (Culicidae: Diptera) malaria vectors in the Republic of Korea,Foley D.H.; Wilkerson R.C.; Kim H.C.; Klein T.A.; Kim M.S.; Li C.; Levin D.M.; Rueda L.M.,Journal of Vector Ecology,Y,2020,https://doi.org/10.1111/jvec.12407,Field,Female,Anopheles belenrae,Anopheles,belenrae,Warrior Base,4.85,"4.85 mean, 0.33 SD",0,N,0,,Single diet,N,,
Swarms of the malaria vector Anopheles funestus in Tanzania,Kaindoa E.W.; Ngowo H.S.; Limwagu A.J.; Tchouakui M.; Hape E.; Abbasi S.; Kihonda J.; Mmbando A.S.; Njalambaha R.M.; Mkandawile G.; Bwanary H.; Coetzee M.; Okumu F.O.,Malaria Journal,Y,2019,https://doi.org/10.1186/s12936-019-2660-y,Field,Male,Anopheles funestus,Anopheles,funestus,"Kilombero river valley, Tanzania",2.47,"2.47 mean, 2.00-2.80 range",0,N,0,,Single diet,N,,
Fitness characteristics of the malaria vector Anopheles funestus during an attempted laboratory colonization,Ngowo H.S. Hape E.E.; Matthiopoulos J.; Ferguson H.M.; Okumu F.O. ,Malaria Journal,Y,2021,https://doi.org/10.1186/s12936-021-03677-3,Field,Female,Anopheles funestus,Anopheles,funestus,Kilombero and Ulanga districts,2.77,,0,N,0,,Single diet,N,,
Colonization and Authentication of the Pyrethroid-Resistant Anopheles gambiae s.s. Muleba-Kis Strain; an Important Test System for Laboratory Screening of New Insecticides,Azizi S.; Snetselaar J.; Wright A.; Matowo J.; Shirima B.; Kaaya R.; Athumani R.; Tenu F.; Protopopoff N.; Kirby M. ,Insects,Y,2021,https://doi.org/10.3390/insects12080710,Lab,Female,Anopheles gambiae,Anopheles,gambiae,Muleba-Kisumu,2.95,2.95 mean,0,N,0,,Single diet,N,,2016
Colonization and Authentication of the Pyrethroid-Resistant Anopheles gambiae s.s. Muleba-Kis Strain; an Important Test System for Laboratory Screening of New Insecticides,Azizi S.; Snetselaar J.; Wright A.; Matowo J.; Shirima B.; Kaaya R.; Athumani R.; Tenu F.; Protopopoff N.; Kirby M. ,Insects,Y,2021,https://doi.org/10.3390/insects12080710,Lab,Female,Anopheles gambiae,Anopheles,gambiae,Muleba-Kisumu,2.94,2.94 mean,0,N,0,,Single diet,N,,2017
Colonization and Authentication of the Pyrethroid-Resistant Anopheles gambiae s.s. Muleba-Kis Strain; an Important Test System for Laboratory Screening of New Insecticides,Azizi S.; Snetselaar J.; Wright A.; Matowo J.; Shirima B.; Kaaya R.; Athumani R.; Tenu F.; Protopopoff N.; Kirby M. ,Insects,Y,2021,https://doi.org/10.3390/insects12080710,Lab,Female,Anopheles gambiae,Anopheles,gambiae,Muleba-Kisumu,3.04,3.04 mean,0,N,0,,Single diet,N,,2019
Colonization and Authentication of the Pyrethroid-Resistant Anopheles gambiae s.s. Muleba-Kis Strain; an Important Test System for Laboratory Screening of New Insecticides,Azizi S.; Snetselaar J.; Wright A.; Matowo J.; Shirima B.; Kaaya R.; Athumani R.; Tenu F.; Protopopoff N.; Kirby M. ,Insects,Y,2021,https://doi.org/10.3390/insects12080710,Lab,Female,Anopheles gambiae,Anopheles,gambiae,Muleba-Kisumu,2.95,2.95 mean,0,N,0,,Single diet,N,,2020
Effects of agricultural pesticides on the susceptibility and fitness of malaria vectors in rural south-eastern Tanzania,Urio N.H.; Pinda P.G.; Ngonzi A.J.; Muyaga L.L.; Msugupakulya B.J.; Finda M.; Matanila G.S.; Mponzi W.; Ngowo H.S.; Kahamba N.F.; Nkya T.E.; Okumu F.O.,Parasites & Vectors,Y,2022,https://doi.org/10.1186/s13071-022-05318-3,Mixed,Female,Anopheles gambiae,Anopheles,gambiae,"Minepa, Ulanga, Tanzania",2.94,2.94 mean,0,N,0,,Single diet,N,,
Effects of agricultural pesticides on the susceptibility and fitness of malaria vectors in rural south-eastern Tanzania,Urio N.H.; Pinda P.G.; Ngonzi A.J.; Muyaga L.L.; Msugupakulya B.J.; Finda M.; Matanila G.S.; Mponzi W.; Ngowo H.S.; Kahamba N.F.; Nkya T.E.; Okumu F.O.,Parasites & Vectors,Y,2022,https://doi.org/10.1186/s13071-022-05318-3,Mixed,Female,Anopheles gambiae,Anopheles,gambiae,"Lupiro, Ulanga, Tanzania",3.07,3.07 mean,0,N,0,,Single diet,N,,
Effects of agricultural pesticides on the susceptibility and fitness of malaria vectors in rural south-eastern Tanzania,Urio N.H.; Pinda P.G.; Ngonzi A.J.; Muyaga L.L.; Msugupakulya B.J.; Finda M.; Matanila G.S.; Mponzi W.; Ngowo H.S.; Kahamba N.F.; Nkya T.E.; Okumu F.O.,Parasites & Vectors,Y,2022,https://doi.org/10.1186/s13071-022-05318-3,Mixed,Female,Anopheles gambiae,Anopheles,gambiae,"Kisawasawa, Kilombero, Tanzania",3.12,3.12 mean,0,N,0,,Single diet,N,,
Effects of agricultural pesticides on the susceptibility and fitness of malaria vectors in rural south-eastern Tanzania,Urio N.H.; Pinda P.G.; Ngonzi A.J.; Muyaga L.L.; Msugupakulya B.J.; Finda M.; Matanila G.S.; Mponzi W.; Ngowo H.S.; Kahamba N.F.; Nkya T.E.; Okumu F.O.,Parasites & Vectors,Y,2022,https://doi.org/10.1186/s13071-022-05318-3,Mixed,Female,Anopheles gambiae,Anopheles,gambiae,"Njage, Kilombero, Tanzania",3.07,3.07 mean,0,N,0,,Single diet,N,,
Monitoring transgenic mosquitoes using wing measurements and I3S Classic,Vyas-Patel N.,bioRxiv,N,2019,https://doi.org/10.1101/645028,Lab,Male,Anopheles gambiae,Anopheles,gambiae,G3,2.62,,0,N,0,,Single diet,N,,
Monitoring transgenic mosquitoes using wing measurements and I3S Classic,Vyas-Patel N.,bioRxiv,N,2019,https://doi.org/10.1101/645028,Lab,Female,Anopheles gambiae,Anopheles,gambiae,G3,2.78,,0,N,0,,Single diet,N,,
Male size does not affect mating success (of Anopheles gambiae in São Tomé),Charlwood J.D.; Pinto J.; Sousa C.A.; Ferreira C.; Do Rosario V.E.,Medical and Veterinary Entomology,Y,2002,https://doi.org/10.1046/j.0269-283x.2002.00342.x,Field,Male,Anopheles gambiae,Anopheles,gambiae,Sao Tome,2.63,"2.63 mean, 0.16 SD, swarming",0,N,0,,Single diet,N,,
Behavioural determinants of gene flow in malaria vector populations: Anopheles gambiae males select large females as mates,Okanda F.M.; Dao A.; Njiru B.N.; Arija J.; Akelo H.A.; Touré Y.; Odulaja A.; Beier J.C.; Githure J.I.; Yan G.; Gouagna L.C.; Knols B.G.J.; Killeen G.F.,Malaria Journal,Y,2002,https://doi.org/10.1186/1475-2875-1-10,Lab,Female,Anopheles gambiae,Anopheles,gambiae,Ifakara,2.96,"2.96 mean, 0.02 SD",0,N,0,,Single diet,N,,
Behavioural determinants of gene flow in malaria vector populations: Anopheles gambiae males select large females as mates,,Malaria Journal,Y,2002,https://doi.org/10.1186/1475-2875-1-10,Lab,Female,Anopheles gambiae,Anopheles,gambiae,Mbita,3.102,"3.102 mean, 0.013 SD",0,N,0,,Single diet,N,,
Wing size and parity as markers of cohort demography for potential Anopheles (Culicidae: Diptera) malaria vectors in the Republic of Korea,Foley D.H.; Wilkerson R.C.; Kim H.C.; Klein T.A.; Kim M.S.; Li C.; Levin D.M.; Rueda L.M.,Journal of Vector Ecology,Y,2020,https://doi.org/10.1111/jvec.12408,Field,Female,Anopheles kleini,Anopheles,kleini,Camp Humphreys,4.72,"4.72 mean, 0.43 SD",0,N,0,,Single diet,N,,
Wing size and parity as markers of cohort demography for potential Anopheles (Culicidae: Diptera) malaria vectors in the Republic of Korea,Foley D.H.; Wilkerson R.C.; Kim H.C.; Klein T.A.; Kim M.S.; Li C.; Levin D.M.; Rueda L.M.,Journal of Vector Ecology,Y,2020,https://doi.org/10.1111/jvec.12409,Field,Female,Anopheles kleini,Anopheles,kleini,Ganghwa Island,4.95,"4.95 mean, 0.12 SD",0,N,0,,Single diet,N,,
Wing size and parity as markers of cohort demography for potential Anopheles (Culicidae: Diptera) malaria vectors in the Republic of Korea,Foley D.H.; Wilkerson R.C.; Kim H.C.; Klein T.A.; Kim M.S.; Li C.; Levin D.M.; Rueda L.M.,Journal of Vector Ecology,Y,2020,https://doi.org/10.1111/jvec.12410,Field,Female,Anopheles kleini,Anopheles,kleini,Warrior Base,5.02,"5.02 mean, 0.27 SD",0,N,0,,Single diet,N,,
Wing size and parity as markers of cohort demography for potential Anopheles (Culicidae: Diptera) malaria vectors in the Republic of Korea,Foley D.H.; Wilkerson R.C.; Kim H.C.; Klein T.A.; Kim M.S.; Li C.; Levin D.M.; Rueda L.M.,Journal of Vector Ecology,Y,2020,https://doi.org/10.1111/jvec.12411,Field,Female,Anopheles pullus,Anopheles,pullus,Camp Humphreys,4.88,"4.88 mean, 0.21 SD",0,N,0,,Single diet,N,,
Wing size and parity as markers of cohort demography for potential Anopheles (Culicidae: Diptera) malaria vectors in the Republic of Korea,Foley D.H.; Wilkerson R.C.; Kim H.C.; Klein T.A.; Kim M.S.; Li C.; Levin D.M.; Rueda L.M.,Journal of Vector Ecology,Y,2020,https://doi.org/10.1111/jvec.12412,Field,Female,Anopheles pullus,Anopheles,pullus,Ganghwa Island,4.92,"4.92 mean, 0.34 SD",0,N,0,,Single diet,N,,
Wing size and parity as markers of cohort demography for potential Anopheles (Culicidae: Diptera) malaria vectors in the Republic of Korea,Foley D.H.; Wilkerson R.C.; Kim H.C.; Klein T.A.; Kim M.S.; Li C.; Levin D.M.; Rueda L.M.,Journal of Vector Ecology,Y,2020,https://doi.org/10.1111/jvec.12413,Field,Female,Anopheles pullus,Anopheles,pullus,Warrior Base,4.89,"4.89 mean, 0.34 SD",0,N,0,,Single diet,N,,
Wing size and parity as markers of cohort demography for potential Anopheles (Culicidae: Diptera) malaria vectors in the Republic of Korea,Foley D.H.; Wilkerson R.C.; Kim H.C.; Klein T.A.; Kim M.S.; Li C.; Levin D.M.; Rueda L.M.,Journal of Vector Ecology,Y,2020,https://doi.org/10.1111/jvec.12414,Field,Female,Anopheles sinensis,Anopheles,sinensis,Camp Humphreys,4.73,"4.73 mean, 0.36 SD",0,N,0,,Single diet,N,,
Wing size and parity as markers of cohort demography for potential Anopheles (Culicidae: Diptera) malaria vectors in the Republic of Korea,Foley D.H.; Wilkerson R.C.; Kim H.C.; Klein T.A.; Kim M.S.; Li C.; Levin D.M.; Rueda L.M.,Journal of Vector Ecology,Y,2020,https://doi.org/10.1111/jvec.12415,Field,Female,Anopheles sinensis,Anopheles,sinensis,Ganghwa Island,4.82,"4.82 mean, 0.32 SD",0,N,0,,Single diet,N,,
Wing size and parity as markers of cohort demography for potential Anopheles (Culicidae: Diptera) malaria vectors in the Republic of Korea,Foley D.H.; Wilkerson R.C.; Kim H.C.; Klein T.A.; Kim M.S.; Li C.; Levin D.M.; Rueda L.M.,Journal of Vector Ecology,Y,2020,https://doi.org/10.1111/jvec.12416,Field,Female,Anopheles sinensis,Anopheles,sinensis,Warrior Base,4.76,"4.76 mean, 0.33 SD",0,N,0,,Single diet,N,,
"Aeroplane wing, a new recessive autosomal phenotypic marker in the malaria vector, Anopheles stephensi Liston",Ghosh C.;Soumya M.; Kumar N.; Kumar C.R. ; Joshi S.G.; Kumar S.; Subramani S.; Swain S.,Heliyon,Y,2024,https://doi.org/10.1016/j.heliyon.2023.e23693,Lab,Male,Anopheles stephensi,Anopheles,stephensi,Bangalore,3.15,"3.15 mean, 0.016 SD",0,N,0,,Single diet,N,,
